Benchmark                                                                              (numberOfPrimeNumbers)   Mode  Cnt         Score           Error  Units
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                                   0  thrpt    3  89567827,211 ± 419013123,688  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                                  10  thrpt    3      3190,017 ±       147,018  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                                  50  thrpt    3       689,053 ±        14,672  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                                 100  thrpt    3       360,827 ±         5,894  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                                 500  thrpt    3        69,032 ±         1,909  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                                1000  thrpt    3        34,514 ±         0,436  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                               10000  thrpt    3         3,444 ±         0,060  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrime                                              100000  thrpt    3         0,344 ±         0,002  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                               0  thrpt    3  80176821,809 ± 220029788,455  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                              10  thrpt    3       433,899 ±         1,298  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                              50  thrpt    3        86,576 ±         1,031  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                             100  thrpt    3        43,336 ±         1,085  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                             500  thrpt    3         8,659 ±         0,224  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                            1000  thrpt    3         4,332 ±         0,053  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                           10000  thrpt    3         0,434 ±         0,003  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestLinearNonPrimeFinderWithBigNumbers                          100000  thrpt    3         0,043 ±         0,001  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                                   0  thrpt    3      2255,593 ±       124,166  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                                  10  thrpt    3      2065,793 ±       102,183  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                                  50  thrpt    3      1293,790 ±       113,107  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                                 100  thrpt    3       898,482 ±        25,108  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                                 500  thrpt    3       232,534 ±         3,386  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                                1000  thrpt    3       123,996 ±         4,644  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                               10000  thrpt    3        12,379 ±         0,748  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStream                                              100000  thrpt    3         1,214 ±         0,292  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                     0  thrpt    3      2233,851 ±       621,272  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                    10  thrpt    3       988,693 ±       100,480  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                    50  thrpt    3       285,528 ±         5,901  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                   100  thrpt    3       154,043 ±         0,981  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                   500  thrpt    3        31,430 ±         1,829  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                  1000  thrpt    3        15,437 ±         0,568  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                 10000  thrpt    3         1,573 ±         0,333  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelStreamWithBigNumbers                                100000  thrpt    3         0,152 ±         0,040  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                           0  thrpt    3      2250,946 ±        21,199  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                          10  thrpt    3      2101,465 ±        26,520  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                          50  thrpt    3      1304,872 ±        33,138  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                         100  thrpt    3       905,873 ±        28,127  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                         500  thrpt    3       232,280 ±         1,739  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                        1000  thrpt    3       123,906 ±         2,589  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                       10000  thrpt    3        12,347 ±         1,665  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrime                                      100000  thrpt    3         1,217 ±         0,472  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                       0  thrpt    3      2136,452 ±      1101,031  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                      10  thrpt    3       968,954 ±        48,771  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                      50  thrpt    3       274,827 ±       164,789  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                     100  thrpt    3       148,443 ±       145,795  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                     500  thrpt    3        31,068 ±         4,804  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                    1000  thrpt    3        15,448 ±         2,856  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                   10000  thrpt    3         1,549 ±         0,396  ops/s
MyBenchmark.BenchmarkingDifferentTypes.TestParallelThreadNonPrimeFinderWithBigNumbers                  100000  thrpt    3         0,154 ±         0,025  ops/s
